neighbourhood_cleansed,price
West Town,178.0
North Center,228.0
Lincoln Square,88.0
West Town,135.0
East Garfield Park,36.0
Washington Park,80.0
Lower West Side,65.0
South Lawndale,45.0
Near South Side,90.0
West Town,147.0
West Town,189.0
West Lawn,39.0
South Shore,85.0
Logan Square,99.0
North Center,163.0
Logan Square,113.0
Logan Square,158.0
Logan Square,849.0
Rogers Park,79.0
Albany Park,60.0
Edgewater,89.0
Hyde Park,125.0
West Town,100.0
Lincoln Park,122.0
Logan Square,147.0
West Town,92.0
Edgewater,108.0
North Center,181.0
Lincoln Park,229.0
Logan Square,250.0
Pullman,125.0
Pullman,50.0
Pullman,125.0
Logan Square,91.0
Irving Park,65.0
Near South Side,170.0
Near West Side,191.0
Edgewater,39.0
Kenwood,115.0
Lake View,132.0
West Town,208.0
West Town,114.0
Logan Square,67.0
Lincoln Square,101.0
Logan Square,150.0
Lincoln Square,36.0
Edgewater,70.0
Lake View,276.0
Forest Glen,80.0
Forest Glen,70.0
West Ridge,63.0
Near North Side,97.0
Lake View,86.0
Lincoln Square,142.0
Logan Square,62.0
Lincoln Park,85.0
Logan Square,110.0
East Garfield Park,136.0
West Town,206.0
Near West Side,133.0
Rogers Park,89.0
Rogers Park,79.0
Rogers Park,79.0
Rogers Park,179.0
Near North Side,85.0
North Lawndale,45.0
North Lawndale,45.0
Near South Side,90.0
Near West Side,174.0
West Town,126.0
Rogers Park,149.0
Near West Side,103.0
Lincoln Park,516.0
Logan Square,90.0
Uptown,200.0
West Ridge,18.0
Lincoln Park,158.0
Beverly,49.0
Lower West Side,47.0
Near North Side,268.0
Rogers Park,139.0
Lake View,74.0
Lincoln Park,155.0
West Town,110.0
Lake View,232.0
Lake View,179.0
Lake View,379.0
Lake View,479.0
Lake View,479.0
Woodlawn,79.0
Hyde Park,69.0
Lincoln Park,364.0
North Lawndale,45.0
Irving Park,89.0
Lake View,125.0
Irving Park,37.0
Grand Boulevard,242.0
Logan Square,51.0
West Town,198.0
Lake View,75.0
Kenwood,55.0
Lake View,162.0
Near West Side,299.0
East Garfield Park,140.0
Lake View,175.0
Mckinley Park,90.0
Lake View,75.0
Dunning,35.0
Rogers Park,55.0
Hyde Park,79.0
Logan Square,70.0
Edgewater,45.0
Irving Park,89.0
West Ridge,65.0
Rogers Park,68.0
West Ridge,18.0
Humboldt Park,115.0
Loop,60.0
West Town,257.0
West Lawn,39.0
Near North Side,121.0
Grand Boulevard,109.0
Lincoln Park,109.0
West Town,45.0
Near West Side,106.0
Uptown,110.0
Uptown,169.0
Grand Boulevard,150.0
Uptown,51.0
Lake View,129.0
Uptown,282.0
Irving Park,71.0
Lake View,83.0
Logan Square,250.0
Edgewater,65.0
Grand Boulevard,109.0
Grand Boulevard,113.0
West Ridge,18.0
Near North Side,271.0
Lake View,100.0
Irving Park,55.0
North Center,199.0
Irving Park,107.0
Uptown,100.0
West Town,189.0
West Town,90.0
Uptown,250.0
West Town,100.0
Logan Square,53.0
Logan Square,59.0
Near North Side,120.0
West Town,160.0
Uptown,342.0
West Town,135.0
Uptown,479.0
Uptown,253.0
Lincoln Park,120.0
West Town,75.0
North Center,170.0
Grand Boulevard,100.0
Grand Boulevard,150.0
Uptown,999.0
Near North Side,275.0
West Town,70.0
West Town,144.0
Logan Square,175.0
West Town,5000.0
West Town,55.0
West Town,52.0
West Town,105.0
West Town,180.0
Lower West Side,50.0
Hyde Park,75.0
West Town,200.0
West Town,190.0
Logan Square,169.0
South Shore,22.0
Lincoln Park,208.0
West Town,243.0
South Shore,22.0
South Shore,28.0
Uptown,117.0
South Lawndale,45.0
South Lawndale,57.0
South Lawndale,55.0
Lincoln Park,90.0
Grand Boulevard,172.0
West Garfield Park,58.0
East Garfield Park,55.0
Lake View,107.0
Hermosa,50.0
Mckinley Park,52.0
West Ridge,16.0
North Center,209.0
Uptown,253.0
Uptown,342.0
Lake View,164.0
North Center,77.0
Logan Square,77.0
Portage Park,59.0
Near West Side,279.0
North Center,193.0
Lincoln Square,119.0
Hegewisch,129.0
North Center,79.0
West Town,100.0
Irving Park,118.0
West Town,130.0
West Town,193.0
